Orchard CMS Presentation tomorrow at JAXDUG,Orchard-CMS-Presentation-tomorrow-at-JAXDUG,"<p>I will be  giving a presentation at the Jacksonville Developers User Group on the  Orchard CMS tomorrow at 6:00 PM. I am going to use part of this  presentation to demonstrate <a href=""http://www.asp.net/webmatrix"" target=""_blank"">Microsoft WebMatrix</a>.  WebMatrix is a simple webserver and deployment tool. You can very  quickly prototype a web site using one of many blogs or content  management systems, and then deploy that site to a hosting provider.</p>
<p>Most of the presentation will cover the <a href=""http://www.orchardproject.net"" target=""_blank"">Orchard CMS project</a>.  Orchard is a open source community focused content management system  based on the ASP.NET MVC framework. Microsoft is sponsoring the project,  and they are looking for collaborators. Orchard is currently at a 0.8  release. The Orchard team just implemented the new Razor engine as the  default view engine.</p>",2011-01-18 03:24:13.000,markdown
Orchard 0.8 Released,Orchard-08-Released,"<p>The <a href=""http://www.orchardproject.net/"" target=""_blank"">Orchard CMS</a> version 0.8 has been released. This release has a new theme engine written using the new Razor rendering views. Orchard is based on ASP.NET MVC. Here is the write up from announcement on the release;</p>
<p style=""padding-left: 30px;"">The Orchard Project team is pleased to announce the availability of  the Orchard 0.8 release, which provides essential features that  designers need to tailor the look-and-feel of Orchard sites. The release  can be downloaded from <a href=""http://www.orchardproject.net/download"">http://www.orchardproject.net/download</a> The  Orchard 0.8 release includes a theme engine based on the new Razor  syntax in ASP.NET MVC, which is an extensible object model for defining  &ldquo;shapes&rdquo;, as well as a flexible template system for rendering those  shapes. The theme engine includes support for multiple layouts and  zones, a script and style sheet registration API, and more. It also  includes a new default theme, &ldquo;The Theme Machine&rdquo;, which leverages these  features and can be adapted to fit the needs of different site designs.<br /><br />As  if a Theme Machine isn&rsquo;t cool enough, the 0.8 release also includes  support for widgets - in this case, configurable UI elements, such as a  tag cloud or search input, which can be easily mapped to different  regions in the site (for example, a sidebar). The configuration of  individual widgets and the rules about where they appear in the site are  configurable from the Orchard admin panel.<br /><br />For designers, this  offers the flexibility to either brand individual sites or create  reusable themes to be shared with others. Orchard 0.8 also includes  support for packaging themes and publishing them to an online gallery  feed where other users can discover and download them.</p>
<p>I will be giving a presentation on Orchard at the <a href=""http://www.jaxdug.com/"" target=""_blank"">JaxDUG</a> next Wednesday.</p>",2011-01-18 03:24:14.000,markdown
ASP.NET MVC 3 Beta is Out unless You Use Windows XP,ASPNET-MVC-3-Beta-is-Out-unless-You-Use-WIndows-XP,"<p>I was reading Scott Guthrie's blog <a href=""http://weblogs.asp.net/scottgu/archive/2010/10/06/announcing-nupack-asp-net-mvc-3-beta-and-webmatrix-beta-2.aspx"" target=""_blank"">post</a> about the just released ASP.NET MVC 3 Beta. So I decided to download the bits, and get MVC running on my Windows XP box only to find out that it will not run due to a dependency on the ASP.NET Web Pages. MVC 3 preview did run on Windows XP.</p>
<p>I know Microsoft no longer wants to support OSs older than Vista, but unfortuneatly the version of an OS that a developer uses is determined by their IT department. I spoke to a Microsoft Developer evangelist about not supporting Windows XP for upcoming developer tools, and he told me I should take that up with my IT department.</p>
<p>Many large companies skipped Windows Vista, opting to continue to use XP. Even though Windows 7 has been more widely accepted, it has been out for less than a year. Many companies will not deploy a new version of Windows until Service Pack 1 has been released. This has left many developers in a black hole, where they cannot upgrade their tools due to policies set by their companies.</p>",2011-01-18 03:24:14.000,markdown
North East Florida CFUG Meeting tonight at Ventureplex,North-East-Florida-CFUG-Meeting-tonight-at-Ventureplex,<p>The first meeting for the North East Florida CFUG is tonight at 6:30 PM. The meeting will be held at Ventureplex. See the previous post for directions. I hope to see you there tonight.</p>,2011-01-18 03:24:14.000,markdown
Jacksonville - North East Florida CFUG Meeting this Tuesday,Jacksonville-North-East-Florida-CFUG-Meeting-this-Tuesday,"<p>The Jacksonville - North East Florida CFUG is having a <a href=""http://jaxfusion.groups.adobe.com/index.cfm?event=post.display&amp;postid=30997"" target=""_blank"">meeting</a> this Tuesday, October 5th. The meeting will start at 6:30 PM. Mike Collins is presenting on processing PDF forms using ColdFusion. He will also be reviewing the new CF Wack, and giving away a new copy signed by Ben Forta. Here is a rundown of the meeting agenda;</p>
<ul>
<li>Introductions</li>
<li>Go around and get everyone's input on how to make group valuable</li>
<li>ColdFusion, Flex and&nbsp;AIR&nbsp;in Jacksonville - who is using it? Hosting Companies, Training facilities, Companies, Colleges etc</li>
<li>Mike Collins 30 minutes - Using CF and PDF Forms.&nbsp; I will walk thru  how to&nbsp;create form based PDFs and then have them submit to CF for server  side processiong. </li>
<li>Book review - ColdFusion Web Application Construction Kit (Ben Forta and RayCamden)</li>
<li>Raffle signed copy of CF Wack to attendees (Signed by Ben)</li>
<li>Plan Next 2 meetings</li>
<li>After the meeting meetup - someone suggest a spot for a beer</li>
</ul>
<p>Here is a <a href=""http://maps.google.com/maps?q=7235%20Bonneval%20Road%2C%20Jacksonville%2C%20FL%2032256"" target=""_blank"">map</a> to the meeting. I hope to see you there on Tuesday. The location is the <a href=""http://www.usventureplex.com/"" target=""_blank"">Venture Plex</a>.</p>",2011-01-18 03:24:14.000,markdown
Orchard CMS Presentation in November at JAXDUG,Orchard-CMS-Presentation-in-November-at-JAXDUG,"<p>I will be giving a presentation in November at the Jacksonville Developers User Group on the Orchard CMS. I am going to use part of this presentation to demonstrate <a href=""http://www.asp.net/webmatrix"" target=""_blank"">Microsoft WebMatrix</a>. WebMatrix is a simple webserver and deployment tool. You can very quickly prototype a web site using one of many blogs or content management systems, and then deploy that site to a hosting provider.</p>
<p>Most of the presentation will cover the <a href=""http://www.orchardproject.net"" target=""_blank"">Orchard CMS project</a>. Orchard is a open source community focused content management system based on the ASP.NET MVC framework. Microsoft is sponsoring the project, and they are looking for collaborators. Orchard is currently at a 0.5 release. The Orchard team is currently implementing the new Razor engine to be the default view engine.</p>
<p>I will have a lot more on this subject coming soon.</p>",2011-01-18 03:24:14.000,markdown
JQuery 1.4 Presentation Slides from Jax Code Camp now Online,JQuery-14-Presentation-Slides-from-Jax-Code-Camp-now-Online,<p>Thanks to everyone who came out to Jax Code Camp this last Saturday. Attendees from my presentation on jQuery and .NET asked if I would post my slides and code on this website. The slides can be downloaded from <a title=""jQuery Presentation"" href=""http://www.fekke.com/Content/jQuery%20Presentation.ppt"" target=""_blank"">this link</a>. I have also posted a copy of the <a title=""JQuery Sample Code"" href=""http://www.fekke.com/blog/JQueryTest.zip"" target=""_blank"">example code</a> I used during my presentation. I also used Phil Haack's <a title=""jquery grid example"" href=""http://haacked.com/archive/2009/04/14/using-jquery-grid-with-asp.net-mvc.aspx"" target=""_blank"">example</a> of using jqGrid and MVC together.</p>,2011-01-18 03:24:14.000,markdown
JQuery 1.4 Presentation at the Jax Code Camp this Saturday,JQuery-14-Presentation-at-the-Jax-Code-Camp-this-Saturday,<p>I will be giving a presentation on <a title=""JQuery 1.4"" href=""http://www.jaxcodecamp.com/Agenda.aspx/Sessions"" target=""_blank"">jQuery 1.4</a> this Saturday at the <a title=""Jax Code Camp"" href=""http://www.jaxcodecamp.com"" target=""_blank"">Jax Code Camp</a>. This is the sixth annual code camp here in Jacksonville. This years camp will be held at the UNF campus. There are seven tracks this year. I hope to see my blog readers there.</p>,2011-01-18 03:24:14.000,markdown
"ColdFusion positions in Palm Coast, Fl",ColdFusion-positions-in-Palm-Coast-Fl,"<p>If you are a ColdFusion developer living in or around Palm Coast, Fl, and you are looking for work, please let me know. A couple of positions have opened up, and I know someone looking to hire right away.</p>",2011-01-18 03:24:14.000,markdown
ASP.NET MVC 3 (Preview 1) Released,ASPNET-MVC-3-(Preview-1)-Released,"<p>Microsoft has released a <a href=""http://go.microsoft.com/fwlink/?LinkID=157073"" target=""_blank"">preview</a> of the next version of ASP.NET MVC, version 3.0. This new release includes the following new feature;</p>
<ul>
<li>View improvements</li>
<li>New View Engines (Spark, Razor, NHaml)</li>
<li>Global Filters for cross-cutting</li>
<li>New action types like HttpNotFound</li>
<li>Javascript and Ajax improvements</li>
<li>Model validation improvements</li>
<li>Dependency Injection improvements</li>
</ul>
<p>Check out Scott Guthrie's <a href=""http://weblogs.asp.net/scottgu/archive/2010/07/27/introducing-asp-net-mvc-3-preview-1.aspx"" target=""_blank"">blog entry</a> on this release.</p>",2011-01-18 03:24:14.000,markdown
